Created: 04-Feb-2009
 
 
Industry mapping for USA
 
Code  Code CHL      N                                                 Industry label USA                                                 Industry label CHL
  324     24    15617                                                  Chemical industry                         Chemical and chemical products manufacture
  325     25     9736                                        Plastic and rubber industry                            Rubber and plastic products manufacture
  326     26    39496            Manufacture of products made from non-metallic minerals                 Manufacture of other non-metallic mineral products
  330     27     8981                                             Basic metal industries                                          Common metals manufacture
  331     28    30874                                   Manufacture of metallic products  Metal products manufacture, with the exception of machinery and e
  332     29     6036                             Manufacture of machinery and equipment                Machinery and equipment products manufacture N.E.C.
  333     30    15269  Manufacture of computer, communication, measuring, electronics an  Manufacture of office, accounting, and information technology equ
  334     31    13473  Manufacture of electrical generation equipment and electrical acc                     Electrical equipment and appliance manufacture
  335     35    32520                            Manufacture of transportation equipment             Manufacture of other types of transportation equipment
  336     36    35888                      Manufacture of furniture and related products             Furniture manufacture, manufacturing industries N.E.C.
  430     51     7213                Wholesale commerce in foods, beverages, and tobacco  Wholesale sales and sales by commission, excluding automobile and
  431     51      637                Wholesale commerce of textile products and footwear  Wholesale sales and sales by commission, excluding automobile and
  432     51     2216  Wholesale commerce of pharmaceutical products, perfumes, accessor  Wholesale sales and sales by commission, excluding automobile and
  433     51    13274   Wholesale commerce in raw materials for agriculture and industry  Wholesale sales and sales by commission, excluding automobile and
  434     51     3825  Wholesale commerce of machinery, furnishings and equipment for ag  Wholesale sales and sales by commission, excluding automobile and
  435     51      669                                       Wholesale commerce of trucks  Wholesale sales and sales by commission, excluding automobile and
  436     51      123  Wholesale commerce mediation and wholesale commerce for mass medi  Wholesale sales and sales by commission, excluding automobile and
  439     51     2042                 Insufficiently specified activities in this sector  Wholesale sales and sales by commission, excluding automobile and
  460     52   146161                   Retail commerce of foods, beverages, and tobacco  Retail sales, excluding sales of automobiles and motorcycles; rep
  461     52    13926                Retail commerce in self-serve and department stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  462     52    51490  Retail commerce in textile goods, clothing accessories and footwe  Retail sales, excluding sales of automobiles and motorcycles; rep
  463     52    12174                        Retail commerce in articles for health care  Retail sales, excluding sales of automobiles and motorcycles; rep
  464     52    43558        Retail commerce in paper goods and other personal use items  Retail sales, excluding sales of automobiles and motorcycles; rep
  465     52    27272  Retail commerce in household goods, computers, and interior produ  Retail sales, excluding sales of automobiles and motorcycles; rep
  466     52    26015  Retail commerce in hardware goods, electrical supplies and tools,  Retail sales, excluding sales of automobiles and motorcycles; rep
  467     50    27793        Retail commerce in automobiles, parts, fuel, and lubricants  Sales, maintenance and repair of automobiles and motorcycles, ret
  468     52     5248                                     Retail commerce intermediation  Retail sales, excluding sales of automobiles and motorcycles; rep
  469     52    41999                 Insufficiently specified activities in this sector  Retail sales, excluding sales of automobiles and motorcycles; rep
  480     62     1841                                                 Air transportation                                                 Air transportation
  481     60     1088                                            Railroad transportation                     Ground transportation, pipeline transportation
  482     61      765                           Water transportation (fluvial, maritime)                                               Water transportation
  484     60    57498          Terrestrial transportation of passengers, except railroad                     Ground transportation, pipeline transportation
  485     60       21                                     Duct (pipeline) transportation                     Ground transportation, pipeline transportation
  487     63     6762                                 Services related to transportation  Complementary and auxiliary transportation activities, travel age
  490     64     1789                                                    Postal services                              Postal service and telecommunications
  491     64     2853                                   Messenger and packaging services                              Postal service and telecommunications
  511     92     1538                                            Film and sound industry                      Entertainment, cultural and sports activities
  512     92     3441                                               Radio and television                      Entertainment, cultural and sports activities
  513     64      692                  Services of telephone booths, fax, and voice mail                              Postal service and telecommunications
  514     64     8068                                   Other telecommunication services                              Postal service and telecommunications
  515     72     2018                                              Information providers                        Information services and related activities
  520     75      130                                                       Central bank  Public administration and defense, social security/insurance plan
  521     65    12692        Institution of non-bursarial credit and financial mediation  Financial intermediary services, excluding financing of insurance
  522     65     1435         Activities of investment exchange and financial investment  Financial intermediary services, excluding financing of insurance
  523     66     4572                             Bond, insurance, and pension companies  Financing of insurance and pension plans, excluding those of mand
  530     70     5670                                    Real estate investment services                                             Real estate activities
  531     70     3529                                        real estate rental services                                             Real estate activities
  541     73     3012                 Scientific research services and veterinary sector                                           Research and development
  564     90     3169                   Waste management and remediation services sector  Household waste and wastewater removal and treatment, and similar
  610     80   137472                                        Educational services sector                                                          Education
  620     85    41877                   Medical outpatient services and related services                       Social services and health sector activities
  621     85    22425                                                          Hospitals                       Social services and health sector activities
  622     85     3829               Social assistance residences and health care housing                       Social services and health sector activities
  623     85     4185                     Other services of the social assistance sector                       Social services and health sector activities
  710     92     9706           Artistic and sports services, and other related services                      Entertainment, cultural and sports activities
  711     92     1269          Museums, historical sites, botanical gardens, and similar                      Entertainment, cultural and sports activities
  712     92     7367                                             Entertainment services                      Entertainment, cultural and sports activities
  721     55   101586                             Food and beverage preparation services                                             Hotels and restaurants
  722     92     1544                                                  Night club sector                      Entertainment, cultural and sports activities
  816     95   129338                          Household employees in private households                          Private households with domestic servants
  930     75   107115                                              Government activities  Public administration and defense, social security/insurance plan
  931     98      174                   International and extraterritorial organizations                       Extraterritorial organizations and organisms
 
 
Industry mapping for MYS
 
Code  Code CHL      N                                                 Industry label MYS                                                 Industry label CHL
   11      1    20028                Growing of crops, market gardening and horticulture     Agriculture, livestock, hunting and related service activities
   12      1      355                                                  Livestock farming     Agriculture, livestock, hunting and related service activities
   13      1       57  Mixed farming : growing of crops combined with farming of livesto     Agriculture, livestock, hunting and related service activities
   14      1      124  Agricultural and animal husbandry service activities, except vete     Agriculture, livestock, hunting and related service activities
   15      1        6  Hunting, trapping and game propagation including related service      Agriculture, livestock, hunting and related service activities
   20      2     1061                   Forestry, logging and related service activities           Forestry, wood extraction and related service activities
   50      5     1915               Fishing and service activities incidental to fishing            Fisheries, fish farming and services related to fishing
  101     10       11                     Mining of coal and lignite; extraction of peat                                  Coal, lignite and peat extraction
  111     11      121                            Extraction of crude oil and natural gas  Crude oil and natural gas extraction, and related service activit
  112     11       37  Service activities incidental to crude oil and natural gas extrac  Crude oil and natural gas extraction, and related service activit
  120     12        9                                 Mining of uranium and thorium ores                                           Uranium and torio mining
  132     13       35  Mining of non-ferrous metal ores, except uranium and thorium ores                                        Mining of metallic minerals
  141     14      167                  Mining or quarrying of stone/ rock, sand and clay                              Mining of other minerals and quarries
  151     15     1045  Production, processing and preservation of meat, fish, fruit, veg                                 Food and drink product manufacture
  152     15      113                                      Manufacture of dairy products                                 Food and drink product manufacture
  153     15      274  Manufacture of grain mill products, starches and starch products,                                 Food and drink product manufacture
  154     15     1141                                 Manufacture of other food products                                 Food and drink product manufacture
  155     15      177                                           Manufacture of beverages                                 Food and drink product manufacture
  160     16       31                                    Manufacture of tobacco products                                        Tobacco product manufacture
  171     17      332                        Spinning, weaving and finishing of textiles                                        Textile product manufacture
  172     17      278                                      Manufacture of other textiles                                        Textile product manufacture
  173     17       54          Manufacture of knitted and crocheted fabrics and articles                                        Textile product manufacture
  181     18     2192                 Manufacture of wearing apparel, except fur apparel                       Clothing and furs processing and manufacture
  191     19       34  Tanning and dressing of leather; manufacture of luggage, handbags  Leather processing, manufacture of luggage, handbags, leatherwear
  192     19      235                                            Manufacture of footwear  Leather processing, manufacture of luggage, handbags, leatherwear
  201     20     1546                                     Sawmilling and planing of wood  Production of wood and manufacture of wood and cork products with
  202     21     1373  Manufacture of products of wood, cork, straw and plaiting materia                               Paper and paper products manufacture
  210     21      445                            Manufacture of paper and paper products                               Paper and paper products manufacture
  221     22      167                                                         Publishing          Editorial, printing and recording reproduction activities
  222     22      541                Printing and service activities related to printing          Editorial, printing and recording reproduction activities
  223     22       20                                     Reproduction of recorded media          Editorial, printing and recording reproduction activities
  231     23        0                                  Manufacture of coke oven products       Coke production, products from oil refining and nuclear fuel
  232     23      452                          Manufacture of refined petroleum products       Coke production, products from oil refining and nuclear fuel
  241     24      253                                     Manufacture of basic chemicals                         Chemical and chemical products manufacture
  242     24      457                             Manufacture of other chemical products                         Chemical and chemical products manufacture
  243     24        5                                     Manufacture of man-made fibres                         Chemical and chemical products manufacture
  251     25     1182                                     Manufacture of rubber products                            Rubber and plastic products manufacture
  252     25     1044                                    Manufacture of plastic products                            Rubber and plastic products manufacture
  261     26      160                            Manufacture of glass and glass products                 Manufacture of other non-metallic mineral products
  269     26      639  Manufacture of non-metallic mineral products not elsewhere classi                 Manufacture of other non-metallic mineral products
  271     27      873                                Manufacture of basic iron and steel                                          Common metals manufacture
  272     27       81               Manufacture of basic precious and non-ferrous metals                                          Common metals manufacture
  273     27       77                                                  Casting of metals                                          Common metals manufacture
  281     28      292  Manufacture of structural metal products, tanks, reservoirs and s  Metal products manufacture, with the exception of machinery and e
  289     28      395  Manufacture of other fabricated metal products; metal working ser  Metal products manufacture, with the exception of machinery and e
  291     29      357                           Manufacture of general purpose machinery                Machinery and equipment products manufacture N.E.C.
  292     29      137                           Manufacture of special purpose machinery                Machinery and equipment products manufacture N.E.C.
  293     31      198       Manufacture of domestic appliances not elsewhere classified.                     Electrical equipment and appliance manufacture
  300     30      991          Manufacture of office, accounting and computing machinery  Manufacture of office, accounting, and information technology equ
  311     31       63       Manufacture of electrical motors,generators and transformers                     Electrical equipment and appliance manufacture
  312     31      172      Manufacture of electricity distribution and control apparatus                     Electrical equipment and appliance manufacture
  313     31      204                            Manufacture of insulated wire and cable                     Electrical equipment and appliance manufacture
  314     31       42   Manufacture of accumulators, primary cells and primary batteries                     Electrical equipment and appliance manufacture
  315     31       26               Manufacture of electric lamps and lighting equipment                     Electrical equipment and appliance manufacture
  319     31     1075                                    Manufacture of other electrical                     Electrical equipment and appliance manufacture
  321     31     4111  Manufacture of electronic valves and tubes and other electronic c                     Electrical equipment and appliance manufacture
  322     32      265  Manufacture of television and radio transmitters and apparatus fo         Radio, television and communications equipment manufacture
  323     32     4221  Manufacture of television and radio receivers, sound or video rec         Radio, television and communications equipment manufacture
  331     33      138  Manufacture of medical appliances and instruments and appliances   Manufacture of medical instruments, precision optics and watchmak
  332     33       94      Manufacture of optical instruments and photographic equipment  Manufacture of medical instruments, precision optics and watchmak
  333     33       99                                  Manufacture of watches and clocks  Manufacture of medical instruments, precision optics and watchmak
  341     34      498                                      Manufacture of motor vehicles              Manufacture of automobiles, trailers and semitrailers
  342     34       44  Manufacture of bodies (coachwork) for motor vehicles; manufacture              Manufacture of automobiles, trailers and semitrailers
  343     34      241  Manufacture of parts and accessories for motor vehicles and their              Manufacture of automobiles, trailers and semitrailers
  351     35      158                          Building and repairing of ships and boats             Manufacture of other types of transportation equipment
  352     35        5   Manufacture of railway and tramway locomotives and rolling stock             Manufacture of other types of transportation equipment
  353     35        9                             Manufacture of aircraft and spacecraft             Manufacture of other types of transportation equipment
  359     35      156        Manufacture of transport equipment not elsewhere classified             Manufacture of other types of transportation equipment
  361     36     1820                                           Manufacture of furniture             Furniture manufacture, manufacturing industries N.E.C.
  371     37        9                                 Recycling of metal waste and scrap                                                          Recycling
  372     37        6                             Recycling of non-metal waste and scrap                                                          Recycling
  401     40      821  Production, collection and distribution of electricity, gas and s       Electrical, gas, steam and hot water supply and distribution
  402     40       38    Manufacture of gas, distribution of gaseous fuels through mains       Electrical, gas, steam and hot water supply and distribution
  403     40        4                                         Steam and hot water supply       Electrical, gas, steam and hot water supply and distribution
  410     41      292                 Collection, purification and distribution of water                    Water collection, purification and distribution
  451     45       34                                                   Site preparation                                                       Construction
  452     45     8202  Building of complete constructions or parts thereof; civil engine                                                       Construction
  453     45     1568                          Building installation (including repairs)                                                       Construction
  454     45      454                            Building completion (including repairs)                                                       Construction
  455     45       17      Renting of construction or demolition equipment with operator                                                       Construction
  501     50      671                                             Sale of motor vehicles  Sales, maintenance and repair of automobiles and motorcycles, ret
  502     50     2832                           Maintenance and repair of motor vehicles  Sales, maintenance and repair of automobiles and motorcycles, ret
  503     50      373                        Sale of motor vehicle parts and accessories  Sales, maintenance and repair of automobiles and motorcycles, ret
  504     50      546  Sale, maintenance and repair of motorcycles and related parts and  Sales, maintenance and repair of automobiles and motorcycles, ret
  505     50      243                                     Retail sale of automotive fuel  Sales, maintenance and repair of automobiles and motorcycles, ret
  511     51        9                               Wholesale on a fee or contract basis  Wholesale sales and sales by commission, excluding automobile and
  512     51      654                            Wholesale of agricultural raw materials  Wholesale sales and sales by commission, excluding automobile and
  513     51      483                                       Wholesale of household goods  Wholesale sales and sales by commission, excluding automobile and
  514     51      439  Wholesale of non-agricultural intermediate products, waste and sc  Wholesale sales and sales by commission, excluding automobile and
  515     51      172                     Wholesale of machinery, equipment and supplies  Wholesale sales and sales by commission, excluding automobile and
  519     51      150                                                    Other wholesale  Wholesale sales and sales by commission, excluding automobile and
  521     52     5264                             Non-specialized retail trade in stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  522     52     1969   Retail sale of food, beverages and tobacco in specialized stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  523     52     3179              Other retail trade of new goods in specialized stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  524     52      104                         Retail sale of second-hand goods in stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  525     52      489                                         Retail trade not in stores  Retail sales, excluding sales of automobiles and motorcycles; rep
  526     52      313                             Repair of personal and household goods  Retail sales, excluding sales of automobiles and motorcycles; rep
  551     55     1830  Hotels; camping sites and other provision of short-stay accommoda                                             Hotels and restaurants
  552     55     6652                                     Restaurants, bars and canteens                                             Hotels and restaurants
  601     60      181                                             Transport via railways                     Ground transportation, pipeline transportation
  602     60     5252                                               Other land transport                     Ground transportation, pipeline transportation
  611     61      426                                    Sea and coastal water transport                                               Water transportation
  612     61       65                                             Inland water transport                                               Water transportation
  621     62      624                                            Scheduled air transport                                                 Air transportation
  622     62       33                                        Non-scheduled air transport                                                 Air transportation
  630     63      954  Supporting and auxiliary transport activities; activities of trav  Complementary and auxiliary transportation activities, travel age
  641     64      450                                        Post and courier activities                              Postal service and telecommunications
  642     64      850                                                 Telecommunications                              Postal service and telecommunications
  651     65     3175                                            Monetary intermediation  Financial intermediary services, excluding financing of insurance
  659     65      124                                     Other financial intermediation  Financial intermediary services, excluding financing of insurance
  660     66     1073   Insurance and pension funding, except compulsory social security  Financing of insurance and pension plans, excluding those of mand
  671     67      165                            Activities auxiliary to finance, except                        Activities auxiliary to financial mediation
  672     67      240              Activities auxiliary to insurance and pension funding                        Activities auxiliary to financial mediation
  701     70      117                 Real estate activities with own or leased property                                             Real estate activities
  702     70       83                  Real estate activities on a fee or contract basis                                             Real estate activities
  711     71       43                                      Rental of transport equipment  Rental of machinery and equipment without operators and of person
  712     71       72                            Rental of other machinery and equipment  Rental of machinery and equipment without operators and of person
  713     71       17    Rental of personal and household goods not elsewhere classified  Rental of machinery and equipment without operators and of person
  721     72      271                                               Hardware consultancy                        Information services and related activities
  722     72       49                                    Software consultancy and supply                        Information services and related activities
  723     72       24                                           Data processing services                        Information services and related activities
  724     72        7                                               Data base activities                        Information services and related activities
  725     72       53  Maintenance and repair of office, accounting and computing machin                        Information services and related activities
  729     72      105                                  Other computer related activities                        Information services and related activities
  731     73       74  Research and experimental development on natural sciences and eng                                           Research and development
  732     73       18  Research and experimental development on social sciences and huma                                           Research and development
  741     74     2002  Legal, accounting, book-keeping and auditing activities; tax cons                                   Other entrepreneurial activities
  742     74      474          Architectural, engineering and other technical activities                                   Other entrepreneurial activities
  743     74      165                                                        Advertising                                   Other entrepreneurial activities
  749     74     1366                       Business activities not elsewhere classified                                   Other entrepreneurial activities
  751     75     9342  Administration of the state and the economic and social policy of  Public administration and defense, social security/insurance plan
  752     75     4732                  Provision of services to the community as a whole  Public administration and defense, social security/insurance plan
  753     75      292                              Compulsory social security activities  Public administration and defense, social security/insurance plan
  801     80     4658                                                  Primary education                                                          Education
  802     80     3271                                                Secondary education                                                          Education
  803     80     1449                                                   Higher education                                                          Education
  809     80      256                                          Adult and other education                                                          Education
  851     85     3191                                            Human health activities                       Social services and health sector activities
  852     85       23                                              Veterinary activities                       Social services and health sector activities
  853     85      115                                             Social work activities                       Social services and health sector activities
  900     90      269      Sewage and refuse disposal, sanitation and similar activities  Household waste and wastewater removal and treatment, and similar
  911     91       33   Activities of business, employers and professional organisations                  Activities of associations not previously covered
  912     91        5                                         Activities of trade unions                  Activities of associations not previously covered
  919     91      269                       Activities of other membership organisations                  Activities of associations not previously covered
  921     92      327  Motion picture, radio, television and other entertainment activit                      Entertainment, cultural and sports activities
  922     92       84                                             News agency activities                      Entertainment, cultural and sports activities
  923     92       89           Library, archives, museums and other cultural activities                      Entertainment, cultural and sports activities
  924     92      395                         Sporting and other recreational activities                      Entertainment, cultural and sports activities
  930     93     1015                                           Other service activities                                      Other service-type activities
  950     95     1923                   Private households with employed persons persons                          Private households with domestic servants
  990     98        0                         Extra-territorial organisations and bodies                       Extraterritorial organizations and organisms
 
 
Industry mapping for PAN
 
Code  Code CHL      N                                                 Industry label PAN                                                 Industry label CHL
   11      1    14262                   Growing of crops; market gardening; horticulture     Agriculture, livestock, hunting and related service activities
   12      1     2285                                                 Farming of animals     Agriculture, livestock, hunting and related service activities
   13      1       58  Growing of crops combined with farming of animals (mixed farming)     Agriculture, livestock, hunting and related service activities
   14      1      233  Agricultural and animal husbandry service activities, except vete     Agriculture, livestock, hunting and related service activities
   15      1        0  Hunting, trapping and game propagation including related service      Agriculture, livestock, hunting and related service activities
   20      2      368                   Forestry, logging and related service activities           Forestry, wood extraction and related service activities
   50      5     1097  Fishing, operation of fish hatcheries and fish farms; service act            Fisheries, fish farming and services related to fishing
  101     10        0                              Mining and agglomeration of hard coal                                  Coal, lignite and peat extraction
  103     10        0                               Extraction and agglomeration of peat                                  Coal, lignite and peat extraction
  111     11        0                      Extraction of crude petroleum and natural gas  Crude oil and natural gas extraction, and related service activit
  112     11        0  Service activities incidental to oil and gas extraction excluding  Crude oil and natural gas extraction, and related service activit
  131     13        0                                                Mining of iron ores                                        Mining of metallic minerals
  132     14        0  Mining of non-ferrous metal ores, except uranium and thorium ores                              Mining of other minerals and quarries
  141     14      111                                  Quarrying of stone, sand and clay                              Mining of other minerals and quarries
  142     14       24                                        Mining and quarrying n.e.c.                              Mining of other minerals and quarries
  151     15      708  Production, processing and preservation of meat, fish, fruit, veg                                 Food and drink product manufacture
  152     15      251                                      Manufacture of dairy products                                 Food and drink product manufacture
  153     15      294  Manufacture of grain mill products, starches and starch products,                                 Food and drink product manufacture
  154     15     1240                                 Manufacture of other food products                                 Food and drink product manufacture
  155     15      347                                           Manufacture of beverages                                 Food and drink product manufacture
  160     16       22                                    Manufacture of tobacco products                                        Tobacco product manufacture
  171     17        0                        Spinning, weaving and finishing of textiles                                        Textile product manufacture
  172     17        0                                      Manufacture of other textiles                                        Textile product manufacture
  173     17       25          Manufacture of knitted and crocheted fabrics and articles                                        Textile product manufacture
  181     18     1084                 Manufacture of wearing apparel, except fur apparel                       Clothing and furs processing and manufacture
  182     18        0         Dressing and dyeing of fur; manufacture of articles of fur                       Clothing and furs processing and manufacture
  191     19       34  Tanning and dressing of leather; manufacture of luggage, handbags  Leather processing, manufacture of luggage, handbags, leatherwear
  192     19       73                                            Manufacture of footwear  Leather processing, manufacture of luggage, handbags, leatherwear
  201     20       49                                     Sawmilling and planing of wood  Production of wood and manufacture of wood and cork products with
  202     20      138  Manufacture of products of wood, cork, straw and plaiting materia  Production of wood and manufacture of wood and cork products with
  210     21      172                            Manufacture of paper and paper products                               Paper and paper products manufacture
  221     22       61                                                         Publishing          Editorial, printing and recording reproduction activities
  222     22      287                Printing and service activities related to printing          Editorial, printing and recording reproduction activities
  223     22        0                                     Reproduction of recorded media          Editorial, printing and recording reproduction activities
  232     23      102                          Manufacture of refined petroleum products       Coke production, products from oil refining and nuclear fuel
  233     23        0                                         Processing of nuclear fuel       Coke production, products from oil refining and nuclear fuel
  241     24       30                                     Manufacture of basic chemicals                         Chemical and chemical products manufacture
  242     24      216                             Manufacture of other chemical products                         Chemical and chemical products manufacture
  243     24        0                                     Manufacture of man-made fibres                         Chemical and chemical products manufacture
  251     25        0                                     Manufacture of rubber products                            Rubber and plastic products manufacture
  252     25      171                                   Manufacture of plastics products                            Rubber and plastic products manufacture
  261     26       83                            Manufacture of glass and glass products                 Manufacture of other non-metallic mineral products
  269     26      432                Manufacture of non-metallic mineral products n.e.c.                 Manufacture of other non-metallic mineral products
  271     27       67                                Manufacture of basic iron and steel                                          Common metals manufacture
  272     27        0               Manufacture of basic precious and non-ferrous metals                                          Common metals manufacture
  273     27        0                                                  Casting of metals                                          Common metals manufacture
  281     28      692  Manufacture of structural metal products, tanks, reservoirs and s  Metal products manufacture, with the exception of machinery and e
  289     28       82  Manufacture of other fabricated metal products; metal working ser  Metal products manufacture, with the exception of machinery and e
  291     29      131                           Manufacture of general purpose machinery                Machinery and equipment products manufacture N.E.C.
  292     29        0                           Manufacture of special purpose machinery                Machinery and equipment products manufacture N.E.C.
  293     31        0                          Manufacture of domestic appliances n.e.c.                     Electrical equipment and appliance manufacture
  300     30        0          Manufacture of office, accounting and computing machinery  Manufacture of office, accounting, and information technology equ
  311     31        0        Manufacture of electric motors, generators and transformers                     Electrical equipment and appliance manufacture
  312     31        0      Manufacture of electricity distribution and control apparatus                     Electrical equipment and appliance manufacture
  313     31        0                            Manufacture of insulated wire and cable                     Electrical equipment and appliance manufacture
  314     31        0   Manufacture of accumulators, primary cells and primary batteries                     Electrical equipment and appliance manufacture
  315     31       25               Manufacture of electric lamps and lighting equipment                     Electrical equipment and appliance manufacture
  319     31        0                   Manufacture of other electrical equipment n.e.c.                     Electrical equipment and appliance manufacture
  322     32        0  Manufacture of television and radio transmitters and apparatus fo         Radio, television and communications equipment manufacture
  323     32       26  Manufacture of television and radio receivers, sound or video rec         Radio, television and communications equipment manufacture
  331     33        0  Manufacture of medical appliances and instruments and appliances   Manufacture of medical instruments, precision optics and watchmak
  332     33       22      Manufacture of optical instruments and photographic equipment  Manufacture of medical instruments, precision optics and watchmak
  333     33        0                                  Manufacture of watches and clocks  Manufacture of medical instruments, precision optics and watchmak
  342     34        0  Manufacture of bodies (coachwork) for motor vehicles; manufacture              Manufacture of automobiles, trailers and semitrailers
  343     34        0  Manufacture of parts and accessories for motor vehicles and their              Manufacture of automobiles, trailers and semitrailers
  351     35       72                          Building and repairing of ships and boats             Manufacture of other types of transportation equipment
  353     35        0                             Manufacture of aircraft and spacecraft             Manufacture of other types of transportation equipment
  359     35        0                          Manufacture of transport equipment n.e.c.             Manufacture of other types of transportation equipment
  361     36      912                                           Manufacture of furniture             Furniture manufacture, manufacturing industries N.E.C.
  371     37       24                                 Recycling of metal waste and scrap                                                          Recycling
  372     37       27                             Recycling of non-metal waste and scrap                                                          Recycling
  401     40      414             Production, collection and distribution of electricity       Electrical, gas, steam and hot water supply and distribution
